Gene ID	source_id	Organism	Product Description	Gene Name or Symbol	Curated GO Component IDs	Curated GO Components	Curated GO Function IDs	Curated GO Functions	Curated GO Process IDs	Curated GO Processes	Computed GO Component IDs	Computed GO Components	Computed GO Function IDs	Computed GO Functions	Computed GO Process IDs	Computed GO Processes
NCU05599	NCU05599-t26_1	Neurospora crassa OR74A	40S ribosomal protein S28	crp-32	GO:0022627	cytosolic small ribosomal subunit	GO:0003735	structural constituent of ribosome	GO:0030490;GO:0000028;GO:0000723;GO:0006412	maturation of SSU-rRNA;ribosomal small subunit assembly;telomere maintenance;translation	GO:0005840	ribosome	GO:0003735	structural constituent of ribosome	GO:0006412	translation
NCU05600	NCU05600-t26_1	Neurospora crassa OR74A	ubiquinone biosynthesis protein	stk-33	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05601	NCU05601-t26_1	Neurospora crassa OR74A	cytochrome c heme lyase	cyt-2	GO:0005739	mitochondrion	GO:0004408	holocytochrome-c synthase activity	GO:0018063;GO:0000909	cytochrome c-heme linkage;sporocarp development involved in sexual reproduction	GO:0005743;GO:0005739	mitochondrial inner membrane;mitochondrion	GO:0004408;GO:0046872	holocytochrome-c synthase activity;metal ion binding	GO:0006779	porphyrin-containing compound biosynthetic process
NCU05602	NCU05602-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0003676	nucleic acid binding	N/A	N/A
NCU05603	NCU05603-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU05604	NCU05604-t26_1	Neurospora crassa OR74A	laccase-6	lacc-6	N/A	N/A	GO:0016491	oxidoreductase activity	N/A	N/A	N/A	N/A	GO:0005507;GO:0016491	copper ion binding;oxidoreductase activity	GO:0055114	obsolete oxidation-reduction process
NCU05605	NCU05605-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	GO:0005634	nucleus	N/A	N/A	GO:0034599	cellular response to oxidative stress	N/A	N/A	N/A	N/A	GO:0051726	regulation of cell cycle
NCU05606	NCU05606-t26_1	Neurospora crassa OR74A	glycosyl hydrolase unclassified family-4	ghx-4	GO:0017177	glucosidase II complex	N/A	N/A	GO:0006491;GO:0034599	N-glycan processing;cellular response to oxidative stress	N/A	N/A	N/A	N/A	GO:0006491;GO:0000272	N-glycan processing;polysaccharide catabolic process
NCU05607	NCU05607-t26_1	Neurospora crassa OR74A	DUF602 domain-containing protein	N/A	GO:0005634	nucleus	N/A	N/A	GO:0034599;GO:0071171	cellular response to oxidative stress;site-specific DNA replication termination at RTS1 barrier	N/A	N/A	N/A	N/A	GO:1902979	mitotic DNA replication termination
NCU05608	NCU05608-t26_1	Neurospora crassa OR74A	phosphatidylinositol 3-kinase tor2	div-18	GO:0031931;GO:0031932;GO:0005634	TORC1 complex;TORC2 complex;nucleus	GO:0004674	protein serine/threonine kinase activity	GO:0038202;GO:0010507;GO:0016242	TORC1 signaling;negative regulation of autophagy;negative regulation of macroautophagy	N/A	N/A	GO:0005524;GO:0016301;GO:0005515;GO:0004674;GO:0044877	ATP binding;kinase activity;protein binding;protein serine/threonine kinase activity;protein-containing complex binding	GO:0006325	chromatin organization
NCU05609	NCU05609-t26_1	Neurospora crassa OR74A	Proline-rich protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU05611	NCU05611-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005634	nucleus	N/A	N/A	GO:0006355	regulation of transcription, DNA-templated
NCU05612	NCU05612-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05613	NCU05613-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05614	NCU05614-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05615	NCU05615-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05616	NCU05616-t26_1	Neurospora crassa OR74A	arsenite S-adenosylmethyltransferase	arm-2	N/A	N/A	GO:0008168	methyltransferase activity	GO:0034599	cellular response to oxidative stress	N/A	N/A	N/A	N/A	GO:0032259	methylation
NCU05617	NCU05617-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05618	NCU05618-t26_1	Neurospora crassa OR74A	extracellular SCP domain-containing protein Pry1	N/A	GO:0005615	extracellular space	N/A	N/A	N/A	N/A	GO:0005576	extracellular region	N/A	N/A	N/A	N/A
NCU05619	NCU05619-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05620	NCU05620-t26_1	Neurospora crassa OR74A	proteasome activator-1	pra-1	GO:0005829;GO:0005634	cytosol;nucleus	GO:0070577;GO:0016504;GO:0070628	lysine-acetylated histone binding;peptidase activator activity;proteasome binding	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	GO:0000502	proteasome complex	GO:0070577;GO:0016504;GO:0070628	lysine-acetylated histone binding;peptidase activator activity;proteasome binding	GO:0006281	DNA repair
NCU05620	NCU05620-t26_2	Neurospora crassa OR74A	proteasome activator-1	pra-1	GO:0005829;GO:0005634	cytosol;nucleus	GO:0070577;GO:0016504;GO:0070628	lysine-acetylated histone binding;peptidase activator activity;proteasome binding	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	GO:0000502	proteasome complex	GO:0070577;GO:0016504;GO:0070628	lysine-acetylated histone binding;peptidase activator activity;proteasome binding	GO:0006281	DNA repair
NCU05621	NCU05621-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05622	NCU05622-t26_1	Neurospora crassa OR74A	beta-Ala-His dipeptidase	arg-15	N/A	N/A	GO:0008233	peptidase activity	GO:0006751;GO:0006508;GO:0000768	glutathione catabolic process;proteolysis;syncytium formation by plasma membrane fusion	GO:0005576	extracellular region	GO:0016787;GO:0005515	hydrolase activity;protein binding	GO:0006751	glutathione catabolic process
NCU05623	NCU05623-t26_1	Neurospora crassa OR74A	mitochondrial inner membrane translocase subunit TIM17	tim17	GO:0005744;GO:0031305	TIM23 mitochondrial import inner membrane translocase complex;integral component of mitochondrial inner membrane	N/A	N/A	GO:0045041;GO:0030150	protein import into mitochondrial intermembrane space;protein import into mitochondrial matrix	GO:0005739	mitochondrion	N/A	N/A	GO:0006839;GO:0006605	mitochondrial transport;protein targeting
NCU05624	NCU05624-t26_1	Neurospora crassa OR74A	asparaginase-2	ane-2	GO:0005737	cytoplasm	GO:0004067;GO:0008798	asparaginase activity;beta-aspartyl-peptidase activity	GO:0016540	protein autoprocessing	N/A	N/A	GO:0016787	hydrolase activity	GO:0006530;GO:0006532	asparagine catabolic process;aspartate biosynthetic process
NCU05625	NCU05625-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05626	NCU05626-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05627	NCU05627-t26_1	Neurospora crassa OR74A	sugar transporter-7	sut-7	N/A	N/A	GO:0005351;GO:0015149	carbohydrate:proton symporter activity;hexose transmembrane transporter activity	GO:0098704;GO:0046323;GO:0043331;GO:0009416	carbohydrate import across plasma membrane;glucose import;response to dsRNA;response to light stimulus	GO:0016021;GO:0016020	integral component of membrane;membrane	GO:0022857	transmembrane transporter activity	GO:0008643;GO:0055085	carbohydrate transport;transmembrane transport
NCU05628	NCU05628-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	GO:0043331	response to dsRNA	N/A	N/A	N/A	N/A	N/A	N/A
NCU05629	NCU05629-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	GO:0043331	response to dsRNA	N/A	N/A	N/A	N/A	N/A	N/A
NCU05630	NCU05630-t26_1	Neurospora crassa OR74A	cupin domain-containing protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05631	NCU05631-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	GO:0043331	response to dsRNA	N/A	N/A	N/A	N/A	N/A	N/A
NCU05632	NCU05632-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU05633	NCU05633-t26_1	Neurospora crassa OR74A	Stomatin family protein	N/A	GO:0031966;GO:0005739	mitochondrial membrane;mitochondrion	N/A	N/A	N/A	N/A	GO:0016020	membrane	N/A	N/A	N/A	N/A
NCU05634	NCU05634-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0015031	protein transport
NCU05635	NCU05635-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0003677	DNA binding	N/A	N/A
NCU05637	NCU05637-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05638	NCU05638-t26_1	Neurospora crassa OR74A	serine/threonine protein kinase-34	stk-34	GO:0000934	porous cell septum	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005524;GO:0004672;GO:0004674	ATP binding;protein kinase activity;protein serine/threonine kinase activity	GO:0006468	protein phosphorylation
NCU05639	NCU05639-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	GO:0009416	response to light stimulus	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU05640	NCU05640-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05641	NCU05641-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05642	NCU05642-t26_1	Neurospora crassa OR74A	cysteinyl-tRNA synthetase	N/A	GO:0005737	cytoplasm	GO:0005524;GO:0004817	ATP binding;cysteine-tRNA ligase activity	GO:0006423	cysteinyl-tRNA aminoacylation	N/A	N/A	GO:0005524;GO:0004812;GO:0004817;GO:0046872;GO:0000166	ATP binding;aminoacyl-tRNA ligase activity;cysteine-tRNA ligase activity;metal ion binding;nucleotide binding	GO:0006423;GO:0006418	cysteinyl-tRNA aminoacylation;tRNA aminoacylation for protein translation
NCU05643	NCU05643-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	GO:0004497	monooxygenase activity	GO:0044550	secondary metabolite biosynthetic process	N/A	N/A	GO:0071949	FAD binding	GO:0005975;GO:0019748	carbohydrate metabolic process;secondary metabolic process
NCU05644	NCU05644-t26_1	Neurospora crassa OR74A	GPI transamidase component Gpi16	gpit-1	GO:0042765	GPI-anchor transamidase complex	N/A	N/A	GO:0006506;GO:0016255;GO:0034599;GO:0048315;GO:0009272;GO:0031505;GO:0051278;GO:0048622;GO:0040009	GPI anchor biosynthetic process;attachment of GPI anchor to protein;cellular response to oxidative stress;conidium formation;fungal-type cell wall biogenesis;fungal-type cell wall organization;fungal-type cell wall polysaccharide biosynthetic process;obsolete reproductive sporulation;regulation of g	GO:0042765;GO:0005794	GPI-anchor transamidase complex;Golgi apparatus	N/A	N/A	GO:0016255;GO:0006464;GO:0006605;GO:0006508	attachment of GPI anchor to protein;cellular protein modification process;protein targeting;proteolysis
NCU05645	NCU05645-t26_1	Neurospora crassa OR74A	U1 snRNP splicing complex subunit	msp-30	GO:0005685;GO:0071004	U1 snRNP;U2-type prespliceosome	GO:0003729	mRNA binding	GO:0006376	mRNA splice site selection	GO:0005685	U1 snRNP	GO:0003729	mRNA binding	GO:0008380;GO:0006376	RNA splicing;mRNA splice site selection
NCU05646	NCU05646-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	GO:0005737;GO:0005634	cytoplasm;nucleus	GO:0003723	RNA binding	N/A	N/A	N/A	N/A	GO:0003723	RNA binding	N/A	N/A
NCU05647	NCU05647-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU05648	NCU05648-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	GO:0034599	cellular response to oxidative stress	N/A	N/A	N/A	N/A	N/A	N/A
NCU05649	NCU05649-t26_1	Neurospora crassa OR74A	RTA1 domain-containing protein	N/A	GO:0000324;GO:0005886	fungal-type vacuole;plasma membrane	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU05650	NCU05650-t26_1	Neurospora crassa OR74A	karyopherin Kap123	N/A	GO:0005737;GO:0005634	cytoplasm;nucleus	GO:0061608;GO:0008139	nuclear import signal receptor activity;nuclear localization sequence binding	GO:0006606	protein import into nucleus	GO:0034399	nuclear periphery	GO:0008536	Ran GTPase binding	GO:0006886;GO:0051169;GO:0006606;GO:0006605	intracellular protein transport;nuclear transport;protein import into nucleus;protein targeting
NCU05651	NCU05651-t26_1	Neurospora crassa OR74A	lectin 2b	tap-1	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005618	cell wall	N/A	N/A	N/A	N/A
NCU05652	NCU05652-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	GO:0034599;GO:0009416	cellular response to oxidative stress;response to light stimulus	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU05653	NCU05653-t26_1	Neurospora crassa OR74A	carbonic anhydrase-3	cah-3	N/A	N/A	GO:0016836	hydro-lyase activity	GO:0034599;GO:0006730	cellular response to oxidative stress;one-carbon metabolic process	N/A	N/A	GO:0004089;GO:0008270	carbonate dehydratase activity;zinc ion binding	GO:0005975	carbohydrate metabolic process
NCU05655	NCU05655-t26_1	Neurospora crassa OR74A	serine/threonine protein kinase-35	stk-35	GO:0005737;GO:0005634	cytoplasm;nucleus	GO:0004707	MAP kinase activity	GO:0030437;GO:0070787;GO:0030448;GO:0035556;GO:0010468;GO:0000909	ascospore formation;conidiophore development;hyphal growth;intracellular signal transduction;regulation of gene expression;sporocarp development involved in sexual reproduction	GO:0000781	chromosome, telomeric region	GO:0005524;GO:0004672	ATP binding;protein kinase activity	GO:0006468	protein phosphorylation
NCU05656	NCU05656-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05657	NCU05657-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05658	NCU05658-t26_1	Neurospora crassa OR74A	serine/threonine protein kinase-36	stk-36	GO:0005737;GO:0005634	cytoplasm;nucleus	GO:0004707	MAP kinase activity	GO:0030437;GO:0070787;GO:0048315;GO:0030448;GO:0035556;GO:0010468;GO:0000909	ascospore formation;conidiophore development;conidium formation;hyphal growth;intracellular signal transduction;regulation of gene expression;sporocarp development involved in sexual reproduction	GO:0000781;GO:0016021	chromosome, telomeric region;integral component of membrane	GO:0005524;GO:0004672	ATP binding;protein kinase activity	GO:0006468	protein phosphorylation
NCU05659	NCU05659-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05660	NCU05660-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05661	NCU05661-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05662	NCU05662-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05663	NCU05663-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05664	NCU05664-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005515	protein binding	N/A	N/A
NCU05666	NCU05666-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05667	NCU05667-t26_1	Neurospora crassa OR74A	anchored cell wall protein 3	acw-3	GO:0030446	hyphal cell wall	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05668	NCU05668-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05669	NCU05669-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05670	NCU05670-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05671	NCU05671-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05672	NCU05672-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05673	NCU05673-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05674	NCU05674-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05675	NCU05675-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05676	NCU05676-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05677	NCU05677-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05678	NCU05678-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05679	NCU05679-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05680	NCU05680-t26_1	Neurospora crassa OR74A	alpha-1,2-mannosyltransferase Kre5	gt15-1	GO:0005794	Golgi apparatus	GO:0000026	alpha-1,2-mannosyltransferase activity	GO:0000032;GO:0034599;GO:0097502;GO:0006487	cell wall mannoprotein biosynthetic process;cellular response to oxidative stress;mannosylation;protein N-linked glycosylation	GO:0016021;GO:0016020	integral component of membrane;membrane	GO:0000030	mannosyltransferase activity	GO:0006486	protein glycosylation
NCU05681	NCU05681-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05683	NCU05683-t26_1	Neurospora crassa OR74A	Dihydroxy-acid dehydratase	N/A	N/A	N/A	GO:0004160;GO:0016836	dihydroxy-acid dehydratase activity;hydro-lyase activity	GO:0009082;GO:0009416	branched-chain amino acid biosynthetic process;response to light stimulus	N/A	N/A	GO:0051539;GO:0003824;GO:0004160;GO:0046872	4 iron, 4 sulfur cluster binding;catalytic activity;dihydroxy-acid dehydratase activity;metal ion binding	GO:0009082	branched-chain amino acid biosynthetic process
NCU05685	NCU05685-t26_1	Neurospora crassa OR74A	hypothetical protein, variant 1, hypothetical protein	dsd-2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05685	NCU05685-t26_2	Neurospora crassa OR74A	hypothetical protein, variant 1, hypothetical protein	dsd-2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05686	NCU05686-t26_1	Neurospora crassa OR74A	Cell wall glucanase	gh16-5	GO:0009277	fungal-type cell wall	GO:0016757	glycosyltransferase activity	GO:0006037;GO:0034599;GO:0031505	cell wall chitin metabolic process;cellular response to oxidative stress;fungal-type cell wall organization	GO:0005618;GO:0016020	cell wall;membrane	GO:0016798;GO:0004553	hydrolase activity, acting on glycosyl bonds;hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0005975;GO:0071555	carbohydrate metabolic process;cell wall organization
NCU05687	NCU05687-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05688	NCU05688-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05689	NCU05689-t26_1	Neurospora crassa OR74A	cytochrome c oxidase polypeptide IV	cox-4	GO:0009514;GO:0031966;GO:0005751;GO:0005739	glyoxysome;mitochondrial membrane;mitochondrial respiratory chain complex IV;mitochondrion	GO:0004129;GO:0008270	cytochrome-c oxidase activity;zinc ion binding	GO:0009060;GO:0042776;GO:0006123	aerobic respiration;mitochondrial ATP synthesis coupled proton transport;mitochondrial electron transport, cytochrome c to oxygen	GO:0005740;GO:0005743;GO:0005739	mitochondrial envelope;mitochondrial inner membrane;mitochondrion	GO:0004129;GO:0046872	cytochrome-c oxidase activity;metal ion binding	GO:0045333	cellular respiration
NCU05691	NCU05691-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05692	NCU05692-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0006144	purine nucleobase metabolic process
NCU05693	NCU05693-t26_1	Neurospora crassa OR74A	interferon-induced GTP-binding protein Mx2	N/A	GO:0005737;GO:0016020;GO:0031966;GO:0005777	cytoplasm;membrane;mitochondrial membrane;peroxisome	GO:0003924;GO:0008017	GTPase activity;microtubule binding	GO:0003374;GO:0061025;GO:0000266;GO:0048285;GO:0016559;GO:0043331	dynamin family protein polymerization involved in mitochondrial fission;membrane fusion;mitochondrial fission;organelle fission;peroxisome fission;response to dsRNA	N/A	N/A	GO:0005525;GO:0003924	GTP binding;GTPase activity	N/A	N/A
